NameYear,bibcode,ads_url,notes
Shen2019,2019ApJ...873...35S,https://ui.adsabs.harvard.edu/abs/2019ApJ...873...35S/abstract,
Shin2020,2020ApJ...893...45S,https://ui.adsabs.harvard.edu/abs/2020ApJ...893...45S/abstract,
Shin2022,2022JKAS...55..131S,https://ui.adsabs.harvard.edu/abs/2022JKAS...55..131S/abstract,
Steffen2004,2004AJ....128.1483S,https://ui.adsabs.harvard.edu/abs/2004AJ....128.1483S/abstract,No spectra shown and not able to find them
Stern2000,2000ApJ...533L..75S,https://ui.adsabs.harvard.edu/abs/2000ApJ...533L..75S/abstract,
Stern2007,2007ApJ...663..677S,https://ui.adsabs.harvard.edu/abs/2007ApJ...663..677S/abstract,
Tang2017,2017MNRAS.466.4568T,https://ui.adsabs.harvard.edu/abs/2017MNRAS.466.4568T/abstract,
Venemans2007,2007MNRAS.376L..76V,https://ui.adsabs.harvard.edu/abs/2007MNRAS.376L..76V/abstract,
Venemans2013,2013ApJ...779...24V,https://ui.adsabs.harvard.edu/abs/2013ApJ...779...24V/abstract,
Venemans2015a,2015ApJ...801L..11V,https://ui.adsabs.harvard.edu/abs/2015ApJ...801L..11V/abstract,
Venemans2015b,2015MNRAS.453.2259V,https://ui.adsabs.harvard.edu/abs/2015MNRAS.453.2259V/abstract,
Venemans2019,2019ApJ...874L..30V,https://ui.adsabs.harvard.edu/abs/2019ApJ...874L..30V/abstract,
Venemans2020,2020ApJ...904..130V,https://ui.adsabs.harvard.edu/abs/2020ApJ...904..130V/abstract,
Wagenweld2022,2022A&A...660A..22W,https://ui.adsabs.harvard.edu/abs/2022A%26A...660A..22W/abstract,
Wang2010,2010ApJ...714..699W,https://ui.adsabs.harvard.edu/abs/2010ApJ...714..699W/abstract,
Wang2011,2011ApJ...739L..34W,https://ui.adsabs.harvard.edu/abs/2011ApJ...739L..34W/abstract,
Wang2013,2013ApJ...773...44W,https://ui.adsabs.harvard.edu/abs/2013ApJ...773...44W/abstract,
Wang2016,2016ApJ...819...24W,https://ui.adsabs.harvard.edu/abs/2016ApJ...819...24W/abstract,
Wang2017,2017ApJ...839...27W,https://ui.adsabs.harvard.edu/abs/2017ApJ...839...27W/abstract,
Wang2018,2018ApJ...869L...9W,https://ui.adsabs.harvard.edu/abs/2018ApJ...869L...9W/abstract,
