name,ra_deg,dec_deg,redshift,m1450,M1450,disc_ref,disc_bibcode,redshift_ref,redshift_bibcode
J153407.88+384739.45,233.532846,38.794293,5.31,20.9,-25.6,Yang2023,2023ApJS..269...27Y,Yang2023,2023ApJS..269...27Y
J203058.93-471859.15,307.74553,-47.31643,5.31,20.91,-25.59,Belladitta2025,2025A&A...699A.335B,Belladitta2025,2025A&A...699A.335B
J221305.26+003407.80,333.271917,0.568833,5.31,22.57,-23.93,McGreer2018,2018AJ....155..131M,McGreer2018,2018AJ....155..131M
J114706.41-010958.20,176.776708,-1.166167,5.31,19.13,-27.37,Yang2017,2017AJ....153..184Y,Yang2017,2017AJ....153..184Y
J123333.47+062234.19,188.389473,6.376165,5.302,19.59,-26.9,Lyke2020,2020ApJS..250....8L,Lyke2020,2020ApJS..250....8L
J080253.91+331832.95,120.724617,33.309153,5.3,20.91,-25.58,Yang2023,2023ApJS..269...27Y,Yang2023,2023ApJS..269...27Y
J100051.59+023457.63,150.21497,2.582674,5.3,23.76,-22.73,Masters2012,2012ApJ...755..169M,Masters2012,2012ApJ...755..169M
J232726.89+245410.93,351.862048,24.903036,5.3,20.42,-26.07,Gloudemans2022,2022A&A...668A..27G,Gloudemans2022,2022A&A...668A..27G
J013326.84+010637.82,23.361835,1.110505,5.3,20.43,-26.06,Chiu2005,2005AJ....130...13C,Chiu2005,2005AJ....130...13C
J121811.19+180750.54,184.546625,18.130706,5.3,19.89,-26.6,Yang2019a,2019ApJ...871..199Y,Yang2019a,2019ApJ...871..199Y
J233008.71+095743.70,352.536292,9.962139,5.3,19.81,-26.68,Yang2017,2017AJ....153..184Y,Yang2017,2017AJ....153..184Y
J102201.91+080122.27,155.507954,8.022852,5.3,18.93,-27.56,Yang2017,2017AJ....153..184Y,Yang2017,2017AJ....153..184Y
